wavelength,total_nadir,ps1_nadir,ps2_nadir,total_vza-60,total_vza-55,total_vza-50,total_vza-45,total_vza-40,total_vza-35,total_vza-30,total_vza-25,total_vza-20,total_vza-15,total_vza-10,total_vza-5,total_vza0,total_vza5,total_vza10,total_vza15,total_vza20,total_vza25,total_vza30,total_vza35,total_vza40,total_vza45,total_vza50,total_vza55,total_vza60
780.00000000,0.30726919,0.19032688,0.11694230,0.48574638,0.45831020,0.43288099,0.41034486,0.39153875,0.37618833,0.36614680,0.36571503,0.44609070,0.34412534,0.32445366,0.31379548,0.30726919,0.30330977,0.30145939,0.30181592,0.30380843,0.30844281,0.31478888,0.32353819,0.33481452,0.34961843,0.36652445,0.38647743,0.41027787
781.00000000,0.28789288,0.18471683,0.10317605,0.45502309,0.42932830,0.40551282,0.38440709,0.36679439,0.35241700,0.34300934,0.34259454,0.41777884,0.32238140,0.30397308,0.29399914,0.28789288,0.28418972,0.28246128,0.28279998,0.28467004,0.28901537,0.29496335,0.30316259,0.31372801,0.32759820,0.34343620,0.36212802,0.38442245
782.00000000,0.26974074,0.17939597,0.09034477,0.42623402,0.40217195,0.37986952,0.36010491,0.34361116,0.33014620,0.32133321,0.32093537,0.39126133,0.30201224,0.28478695,0.27545377,0.26974074,0.26627735,0.26466279,0.26498429,0.26673914,0.27081295,0.27638720,0.28407019,0.29396859,0.30696275,0.32179888,0.33930773,0.36018968
783.00000000,0.25290730,0.17465849,0.07824881,0.39955337,0.37700283,0.35610115,0.33757813,0.32212030,0.30950005,0.30123763,0.30085562,0.36668497,0.28312669,0.26699643,0.25825635,0.25290730,0.24966582,0.24815662,0.24846215,0.25011028,0.25393266,0.25916086,0.26636584,0.27564666,0.28782973,0.30173828,0.31815188,0.33772611
784.00000000,0.23723604,0.17014534,0.06709070,0.37472071,0.35357668,0.33397844,0.31661072,0.30211683,0.29028270,0.28253288,0.28216645,0.34381892,0.26554821,0.25043570,0.24224688,0.23723604,0.23420066,0.23278914,0.23307940,0.23462791,0.23821592,0.24312174,0.24988150,0.25858726,0.27001512,0.28306014,0.29845417,0.31681119
785.00000000,0.22265245,0.16596995,0.05668251,0.35161592,0.33178025,0.31339451,0.29710149,0.28350429,0.27240150,0.26512868,0.26477726,0.32254882,0.24919191,0.23502538,0.22734897,0.22265245,0.21980853,0.21848765,0.21876347,0.22021911,0.22358884,0.22819454,0.23453988,0.24271047,0.25343552,0.26567701,0.28012235,0.29734684
786.00000000,0.20899805,0.16197140,0.04702665,0.32999777,0.31138495,0.29413248,0.27884392,0.26608481,0.25566560,0.24883871,0.24850161,0.30264850,0.23388147,0.22059868,0.21340095,0.20899805,0.20633293,0.20509663,0.20535883,0.20672754,0.20989312,0.21421816,0.22017602,0.22784626,0.23791426,0.24940458,0.26296307,0.27912891
787.00000000,0.19663653,0.15810619,0.03853034,0.31041995,0.29291543,0.27669008,0.26231187,0.25031236,0.24051277,0.23409028,0.23376694,0.28463523,0.22002111,0.20753819,0.20077374,0.19663653,0.19413310,0.19297313,0.19322262,0.19451227,0.19749243,0.20156277,0.20716905,0.21438547,0.22385752,0.23466666,0.24742097,0.26262697
788.00000000,0.18487132,0.15427063,0.03060068,0.29179163,0.27534133,0.26009301,0.24658074,0.23530379,0.22609368,0.22005607,0.21974643,0.26750155,0.20683190,0.19510894,0.18875616,0.18487132,0.18252140,0.18143377,0.18167088,0.18288507,0.18568857,0.18951636,0.19478791,0.20157236,0.21047721,0.22063813,0.23262721,0.24691996
789.00000000,0.17398801,0.15034763,0.02364039,0.27456430,0.25908871,0.24474374,0.23203209,0.22142320,0.21275820,0.20707670,0.20678050,0.25166384,0.19463409,0.18361267,0.17763995,0.17398801,0.17177965,0.17075858,0.17098390,0.17212803,0.17476781,0.17837099,0.18333265,0.18971737,0.19809735,0.20765855,0.21893971,0.23238771
